DATE,USER_NAME,FOLLOWERS,FOLLOWING
22/10/2018,barelywasted,1079,454
23/10/2018,barelywasted,1102,678
24/10/2018,barelywasted,1112,565
23/10/2018,burodediseno,1657,682
24/10/2018,burodediseno,1674,664
21/10/2018,vinodeveritas,0,0
22/10/2018,vinodeveritas,70,300
23/10/2018,vinodeveritas,117,928
24/10/2018,vinodeveritas,160,994
